ParentCode,ParentName,AreaCode,AreaName,Locality
E08000029,Solihull,E05001284,Bickenhill,Solihull
E08000029,Solihull,E05001285,Blythe,Solihull
E08000029,Solihull,E05001286,Castle Bromwich,Solihull
E08000029,Solihull,E05001287,Chelmsley Wood,Solihull
E08000029,Solihull,E05001288,Dorridge and Hockley Heath,Solihull
E08000029,Solihull,E05001289,Elmdon,Solihull
E08000029,Solihull,E05001290,Kingshurst and Fordbridge,Solihull
E08000029,Solihull,E05001291,Knowle,Solihull
E08000029,Solihull,E05001292,Lyndon,Solihull
E08000029,Solihull,E05001293,Meriden,Solihull
E08000029,Solihull,E05001294,Olton,Solihull
E08000029,Solihull,E05001295,St Alphege,Solihull
E08000029,Solihull,E05001296,Shirley East,Solihull
E08000029,Solihull,E05001297,Shirley South,Solihull
E08000029,Solihull,E05001298,Shirley West,Solihull
E08000029,Solihull,E05001299,Silhill,Solihull
E08000029,Solihull,E05001300,Smith's Wood,Solihull
E08000025,Birmingham,E05011118,Acocks Green,East
E08000025,Birmingham,E05011119,Allens Cross,South
E08000025,Birmingham,E05011120,Alum Rock,East
E08000025,Birmingham,E05011121,Aston,West
E08000025,Birmingham,E05011122,Balsall Heath West,Central
E08000025,Birmingham,E05011123,Bartley Green,South
E08000025,Birmingham,E05011124,Billesley,Central
E08000025,Birmingham,E05011125,Birchfield,West
E08000025,Birmingham,E05011126,Bordesley & Highgate,West
E08000025,Birmingham,E05011127,Bordesley Green,East
E08000025,Birmingham,E05011128,Bournbrook & Selly Park,Central
E08000025,Birmingham,E05011129,Bournville & Cotteridge,Central
E08000025,Birmingham,E05011130,Brandwood & King's Heath,Central
E08000025,Birmingham,E05011131,Bromford & Hodge Hill,East
E08000025,Birmingham,E05011132,Castle Vale,North
E08000025,Birmingham,E05011133,Druids Heath & Monyhull,Central
E08000025,Birmingham,E05011134,Edgbaston,South
E08000025,Birmingham,E05011135,Erdington,North
E08000025,Birmingham,E05011136,Frankley Great Park,South
E08000025,Birmingham,E05011137,Garretts Green,East
E08000025,Birmingham,E05011138,Glebe Farm & Tile Cross,East
E08000025,Birmingham,E05011139,Gravelly Hill,North
E08000025,Birmingham,E05011140,Hall Green North,Central
E08000025,Birmingham,E05011141,Hall Green South,Central
E08000025,Birmingham,E05011142,Handsworth,West
E08000025,Birmingham,E05011143,Handsworth Wood,West
E08000025,Birmingham,E05011144,Harborne,South
E08000025,Birmingham,E05011145,Heartlands,East
E08000025,Birmingham,E05011146,Highter's Heath,Central
E08000025,Birmingham,E05011147,Holyhead,West
E08000025,Birmingham,E05011148,King's Norton North,South
E08000025,Birmingham,E05011149,King's Norton South,South
E08000025,Birmingham,E05011150,Kingstanding,North
E08000025,Birmingham,E05011151,Ladywood,West
E08000025,Birmingham,E05011152,Longbridge & West Heath,South
E08000025,Birmingham,E05011153,Lozells,West
E08000025,Birmingham,E05011154,Moseley,Central
E08000025,Birmingham,E05011155,Nechells,West
E08000025,Birmingham,E05011156,Newtown,West
E08000025,Birmingham,E05011157,North Edgbaston,South
E08000025,Birmingham,E05011158,Northfield,South
E08000025,Birmingham,E05011159,Oscott,West
E08000025,Birmingham,E05011160,Perry Barr,West
E08000025,Birmingham,E05011161,Perry Common,North
E08000025,Birmingham,E05011162,Pype Hayes,North
E08000025,Birmingham,E05011163,Quinton,South
E08000025,Birmingham,E05011164,Rubery & Rednal,South
E08000025,Birmingham,E05011165,Shard End,East
E08000025,Birmingham,E05011166,Sheldon,East
E08000025,Birmingham,E05011167,Small Heath,East
E08000025,Birmingham,E05011168,Soho & Jewellery Quarter,West
E08000025,Birmingham,E05011169,South Yardley,East
E08000025,Birmingham,E05011170,Sparkbrook & Balsall Heath East,Central
E08000025,Birmingham,E05011171,Sparkhill,Central
E08000025,Birmingham,E05011172,Stirchley,Central
E08000025,Birmingham,E05011173,Stockland Green,North
E08000025,Birmingham,E05011174,Sutton Four Oaks,North
E08000025,Birmingham,E05011175,Sutton Mere Green,North
E08000025,Birmingham,E05011176,Sutton Reddicap,North
E08000025,Birmingham,E05011177,Sutton Roughley,North
E08000025,Birmingham,E05011178,Sutton Trinity,North
E08000025,Birmingham,E05011179,Sutton Vesey,North
E08000025,Birmingham,E05011180,Sutton Walmley & Minworth,North
E08000025,Birmingham,E05011181,Sutton Wylde Green,North
E08000025,Birmingham,E05011182,Tyseley & Hay Mills,Central
E08000025,Birmingham,E05011183,Ward End,East
E08000025,Birmingham,E05011184,Weoley & Selly Oak,Central
E08000025,Birmingham,E05011185,Yardley East,East
E08000025,Birmingham,E05011186,Yardley West & Stechford,East
